Id,Atoms,Actions,Solve,Time,Size
1,11,28,1,0.11411900000000001,4
2,22,54,1,0.059213,4
3,31,80,1,0.011822,4
4,40,106,1,0.015624,4
5,49,132,1,0.022430000000000002,4
6,58,158,1,0.026246,4
7,67,184,1,0.03005,4
8,76,210,1,0.265279,4
9,85,236,1,0.157122,4
10,104,262,1,0.24708899999999998,4
11,114,288,1,0.237019,4
12,124,314,1,0.112455,4
13,21,66,1,0.187282,6
14,42,134,1,0.19218,6
15,61,202,1,0.243675,6
16,80,270,1,0.36761900000000003,6
17,99,338,1,0.23000900000000002,6
18,118,406,1,0.35956,6
19,137,474,1,0.45395,6
20,156,542,1,0.53,6
21,175,610,1,0.794683,6
22,194,678,1,1.023428,6
23,213,746,1,1.6589169999999998,6
24,232,814,1,2.465589,6
25,35,120,1,0.365146,8
26,70,250,1,0.653574,8
27,103,380,1,1.1464729999999999,8
28,136,510,1,1.03545,8
29,169,640,1,2.038338,8
30,202,770,1,4.302011,8
31,235,900,1,4.30301,8
32,268,1030,1,5.757701,8
33,301,1160,1,5.864879,8
34,334,1290,1,8.397841,8
35,367,1420,1,11.226486,8
36,400,1550,1,12.081812,8
37,53,190,1,0.2136,10
38,106,402,1,5.663142,10
39,157,614,1,10.447078,10
40,208,826,1,5.529769,10
41,259,1038,1,12.71839,10
42,310,1250,1,19.137225,10
43,361,1462,1,31.910360999999998,10
44,412,1674,1,22.955477,10
45,463,1886,1,33.160097,10
46,514,2098,1,49.239606,10
47,565,2310,1,55.572786,10
48,616,2522,1,89.264889,10
49,75,276,1,1.069049,12
50,150,590,1,78.536592,12
51,223,904,1,111.195927,12
52,296,1218,1,215.52361800000003,12
53,369,1532,1,188.152748,12
54,442,1846,1,96.798068,12
55,515,2160,1,117.227752,12
56,588,2474,1,244.133518,12
57,661,2788,1,234.087996,12
58,734,3102,1,290.966606,12
59,807,3416,1,304.571769,12
60,880,3730,1,393.602173,12
