Id,Atoms,Actions,Solve,Time,Size
1,95,188,1,27.721607000000002,18.0
2,138,269,1,6.939883999999999,15.0
3,209,410,1,4.81965,14.0
4,383,771,1,64.036917,17.0
5,251,534,1,91.333087,19.0
6,389,802,1,61.623428000000004,18.0
7,439,918,1,69.833067,20.0
8,474,981,1,117.36175700000001,18.0
9,515,1059,1,185.66478999999998,19.0
10,518,1050,1,26.45559,17.0
11,426,862,1,122.09159299999999,19.0
12,364,743,1,32.454556,17.0
13,399,810,1,47.122095,17.0
14,584,1219,1,161.816577,19.0
15,554,1134,1,89.536169,20.0
16,923,1895,1,63.276782999999995,16.0
17,837,1704,1,105.29779099999999,18.0
18,566,1172,1,116.649437,19.0
19,879,1826,1,177.52264399999999,21.0
20,811,1660,1,67.66024499999999,19.0
21,635,1331,1,264.915438,23.0
22,707,1454,1,1044.865127,26.0
23,763,1588,1,312.625402,22.0
24,1044,2133,1,478.08094800000003,22.0
25,643,1340,1,184.11803899999998,20.0
26,755,1562,1,69.523174,19.0
27,867,1787,1,446.671884,22.0
28,773,1593,1,291.37762799999996,22.0
29,827,1728,1,126.15088100000001,19.0
30,858,1748,1,71.035161,17.0
31,711,1457,1,254.291018,19.0
32,1274,2632,1,513.511845,24.0
33,1129,2351,1,857.402792,22.0
34,932,1908,1,185.238062,20.0
35,1220,2535,1,289.002741,18.0
36,1005,2039,1,204.472016,19.0
37,1001,2057,1,276.655708,21.0
38,1566,3212,1,493.46269900000004,22.0
39,1524,3136,1,1476.923923,24.0
40,1167,2416,1,2485.802134,23.0
41,1163,2399,1,488.003859,22.0
42,1212,2517,1,178.491682,21.0
43,1407,2915,1,633.63568,22.0
44,1157,2383,1,235.730157,22.0
45,1987,4109,0,,
46,1561,3271,1,1515.9857029999998,26.0
47,1890,3928,1,2143.172598,25.0
48,1878,3886,1,933.356541,24.0
49,1557,3259,1,3161.687671,28.0
50,1731,3604,1,1027.576434,24.0
51,2551,5318,0,,
