Id,Atoms,Actions,Solve,Time,Size
1,4,6,1,0.204376,4.0
2,8,26,1,0.51244,8.0
3,12,66,1,60.588584999999995,16.0
4,20,146,0,,
5,36,306,0,,
6,68,626,0,,
7,132,1266,0,,
8,260,2546,0,,
