Solve,Time,Size
1,0.02,8
1,0.58,16
1,1.12,32
1,5.7,64
1,5.78,128
1,5.72,256
1,6.28,512
1,7.42,1024
1,11.22,2048
1,27.06,4096
1,91.64,8192
