Solve,Time,Size
1,0,4
1,0,6
1,0.02,5
1,0,8
1,0,7
1,0,7
1,0.02,10
1,0,9
1,0.02,9
1,0.02,9
1,0.04,12
1,0.04,11
1,0.02,11
1,0.02,11
1,0.04,11
1,0.02,14
1,0.02,13
1,0.04,13
1,0.04,13
1,0.04,13
