Solve,Time,Size
1,0.08,55
1,0.2,120
1,0.3,179
1,0.32,191
1,0.28,186
1,0.1,84
1,0.12,73
1,0.42,235
1,0.08,44
1,0.64,315
1,0.08,41
1,1.04,495
1,0.54,276
1,0.44,250
1,0.8,395
1,0.14,83
1,0.86,436
1,0.5,285
1,0.24,153
1,2.06,792
