Domain (# inst),%solve,time,size
acrobatics(8:1-8),1.0,17.0125,127.5
beam-walk(11:1-11),1.0,25.84363636363636,1488.7272727272727
doors(15:1-15),0.8,1.7766666666666666,22.0
spiky-tireworld(11:1-11),0.09090909090909091,69.56,23.0
tireworld(15:1-15),0.8,0.07666666666666667,10.083333333333334
zenotravel(15:1-15),1.0,3.246666666666667,54.6
blocksworld-ipc08(15:1-15),1.0,0.11199999999999997,15.133333333333333
blocksworld-ipc08(15:16-30),1.0,0.46799999999999997,33.666666666666664
earth_observation(20:1-20),1.0,0.19,62.5
earth_observation(20:21-40),1.0,0.908,234.4
elevators(10:1-10),1.0,0.08600000000000001,29.1
elevators(5:11-15),1.0,0.5760000000000001,81.4
faults-ipc08(20:1-20),1.0,0.026000000000000002,9.8
faults-ipc08(20:21-40),1.0,0.06500000000000002,16.65
faults-ipc08(15:41-55),1.0,0.09333333333333334,20.4
first-responders-ipc08(30:1-30),0.6333333333333333,0.023157894736842106,10.736842105263158
first-responders-ipc08(40:31-70),0.825,1.2775757575757574,17.87878787878788
first-responders-ipc08(30:71-100),0.7666666666666667,0.13913043478260873,24.434782608695652
islands(30:1-30),0.7666666666666667,117.41565217391305,5.391304347826087
islands(30:31-60),0.26666666666666666,184.85750000000002,11.0
miner(30:1-30),0.3,435.9688888888889,19.666666666666668
miner(21:31-51),0.09523809523809523,441.64,25.0
tireworld-truck(24:1-24),0.375,242.77333333333334,18.77777777777778
tireworld-truck(25:25-49),0.28,349.04571428571427,27.857142857142858
tireworld-truck(25:50-74),0.16,440.75000000000006,21.0
triangle-tireworld(20:1-20),1.0,3.6740000000000004,125.0
triangle-tireworld(20:21-40),1.0,312.669,365.0
