Atoms,Actions,Solve,Time,Size
4,6,1,0.005993,4
8,26,1,0.042588,8
12,66,1,16.254614,16
20,146,0,,
36,306,0,,
68,626,0,,
132,1266,0,,
260,2546,0,,
