Atoms,Actions,Solve,Time,Size
35,96,0,,
43,171,1,0.003494,2
39,152,1,0.018619,5
53,262,1,0.143972,8
55,174,1,0.021448,5
57,202,1,0.024732,5
65,229,1,0.186397,9
67,277,1,0.197050,8
67,288,0,,
73,370,1,0.005355,2
73,305,1,0.032866,5
79,483,1,0.006681,2
89,707,1,0.081622,5
77,568,1,9.524276,11
87,276,0,,
