Atoms,Actions,Solve,Time,Size
21,33,0,,
17,41,1,0.013386,6
29,53,0,,
53,89,0,,
47,83,0,,
24,40,0,,
20,36,1,24.873847,17
22,54,1,0.014167,6
42,74,0,,
74,122,0,,
17,37,1,0.018452,7
47,87,0,,
53,93,0,,
49,109,0,,
91,171,0,,
22,46,1,0.504973,13
64,112,0,,
68,140,0,,
72,144,0,,
94,190,0,,
