Domain (# inst),%solve,time,size
acrobatics(8:1-8),1.0,16.7075,127.5
beam-walk(11:1-11),1.0,25.567272727272726,1488.7272727272727
doors(15:1-15),0.8,1.8383333333333336,22.0
spiky-tireworld(11:1-11),0.09090909090909091,82.84,23.0
tireworld(15:1-15),0.8,0.053333333333333344,10.083333333333334
zenotravel(15:1-15),1.0,2.4186666666666667,54.6
blocksworld-ipc08(15:1-15),1.0,0.09600000000000002,15.133333333333333
blocksworld-ipc08(15:16-30),1.0,0.5266666666666667,33.666666666666664
earth_observation(20:1-20),1.0,0.183,62.5
earth_observation(20:21-40),1.0,0.858,234.4
elevators(10:1-10),1.0,0.086,29.1
elevators(5:11-15),1.0,0.6280000000000001,81.4
faults-ipc08(20:1-20),1.0,0.03,9.8
faults-ipc08(20:21-40),1.0,0.06900000000000002,16.65
faults-ipc08(15:41-55),1.0,0.11999999999999998,20.4
first-responders-ipc08(30:1-30),0.7666666666666667,0.07043478260869565,13.91304347826087
first-responders-ipc08(40:31-70),0.675,1.602222222222222,17.62962962962963
first-responders-ipc08(30:71-100),0.8333333333333334,0.12319999999999999,22.4
islands(30:1-30),0.7666666666666667,114.56695652173913,5.391304347826087
islands(30:31-60),0.26666666666666666,207.8875,11.0
miner(30:1-30),0.3333333333333333,449.47200000000004,19.8
miner(20:31-50),0.05,841.26,29.0
tireworld-truck(24:1-24),0.375,235.0444444444444,18.77777777777778
tireworld-truck(25:25-49),0.28,345.2914285714286,27.857142857142858
tireworld-truck(25:50-74),0.16,487.06,21.0
triangle-tireworld(20:1-20),1.0,3.628,125.0
triangle-tireworld(20:21-40),1.0,292.41700000000003,365.0
