index,domain_name,start_problem,end_problem,planner
1,acrobatics,1,8,prp
2,beam-walk,1,11,prp
3,blocksworld-ipc08,1,30,prp
4,doors,1,15,prp
5,earth_observation,1,40,prp
6,elevators,1,15,prp
7,faults-ipc08,1,55,prp
8,first-responders-ipc08,1,100,prp
9,islands,1,60,prp
10,miner,1,50,prp
11,spiky-tireworld,1,11,prp
12,tireworld,1,15,prp
13,tireworld-truck,1,74,prp
14,triangle-tireworld,1,40,prp
15,zenotravel,1,15,prp
