index,domain_name,start_problem,end_problem,planner
1,beam-walk,3,3,sat
2,earth_observation,3,3,sat
3,earth_observation,9,9,sat
4,earth_observation,12,12,sat
5,earth_observation,16,16,sat
6,earth_observation,21,21,sat
7,faults-ipc08,16,16,sat
8,faults-ipc08,22,22,sat
9,faults-ipc08,29,29,sat
10,spiky-tireworld,6,6,sat
11,tireworld-truck,24,25,sat
12,tireworld-truck,33,35,sat
13,tireworld-truck,57,59,sat
14,triangle-tireworld,2,2,sat
