index,domain_name,start_problem,end_problem,planner
1,acrobatics,1,8,sat
2,beam-walk,1,11,sat
3,blocksworld-ipc08,1,30,sat
4,doors,1,15,sat
5,earth_observation,1,40,sat
6,elevators,1,15,sat
7,faults-ipc08,1,55,sat
8,first-responders-ipc08,1,100,sat
9,islands,1,60,sat
10,miner,1,51,sat
11,spiky-tireworld,1,11,sat
12,tireworld,1,15,sat
13,tireworld-truck,1,74,sat
14,triangle-tireworld,1,40,sat
15,zenotravel,1,15,sat
