Id,Solve,Time,Size
1,1,0.02,11
2,1,0.04,23
3,1,0.08,35
4,1,0.12,47
5,1,0.18,59
6,1,0.26,71
7,1,0.56,83
8,1,0.74,95
9,1,0.86,107
10,1,0.98,119
11,1,1.86,131
12,1,1.8,143
13,1,2.24,155
14,1,2.54,167
15,1,3.78,179
16,1,7.7,191
17,1,8.42,203
18,1,8.46,215
19,1,12.14,227
20,1,19.78,239
21,1,19.1,251
22,1,29.9,263
23,1,38.66,275
24,1,49.84,287
25,1,47.08,299
26,1,83.28,311
27,1,91.14,323
28,1,105.88,335
29,1,135.38,347
30,1,181.72,359
31,1,226.88,371
32,1,214.6,383
33,1,213.72,395
34,1,408.34,407
35,1,477.7,419
36,1,551.54,431
37,1,650.22,443
38,1,758.8,455
39,1,764.38,467
40,1,800.18,479
