Id,Solve,Time,Size
1,1,0.6,22.0
2,1,0.08,15.0
3,1,1303.54,16.0
4,0,,
5,1,21.94,19.0
6,0,,
7,0,,
8,0,,
9,0,,
10,1,1004.68,18.0
11,0,,
12,1,1496.48,19.0
13,0,,
14,0,,
15,0,,
16,0,,
17,0,,
18,1,16.32,20.0
19,0,,
20,0,,
21,1,564.96,25.0
22,0,,
23,0,,
24,0,,
25,1,16.56,23.0
26,0,,
27,0,,
28,0,,
29,0,,
30,0,,
31,1,69.56,21.0
32,0,,
33,1,841.26,29.0
34,0,,
35,0,,
36,0,,
37,0,,
38,0,,
39,0,,
40,0,,
41,0,,
42,0,,
43,0,,
44,0,,
45,0,,
46,0,,
47,0,,
48,0,,
49,0,,
50,0,,
51,0,,
