Atoms,Actions,Solve,Time,Size
22,26,1,0.916839,10
22,26,1,0.100870,9
40,62,1,0.125311,9
40,62,1,3.517116,11
64,110,1,3.415164,11
64,110,1,0.276262,9
76,134,1,0.291071,9
76,134,1,1.274392,11
88,158,1,12.646150,11
88,158,1,0.339359,9
40,64,1,85.340168,14
64,112,1,92.751866,14
76,136,1,146.885487,14
88,160,1,147.051756,14
27,33,1,0.239178,10
27,33,1,1.674783,12
48,78,1,2.892154,12
48,78,1,18.412475,14
76,138,1,57.165088,14
76,138,1,2.183127,12
90,168,1,3.022478,12
90,168,1,23.285035,14
104,198,1,43.804285,14
104,198,1,3.615961,12
