Atoms,Actions,Solve,Time,Size
114,217,1,2351.896560,23
142,270,1,1763.168485,23
170,323,1,2803.056154,23
58,111,1,689.136467,23
226,429,1,3361.463068,23
254,482,0,,
282,535,0,,
310,588,0,,
338,641,0,,
366,694,0,,
418,798,0,,
