Solve,Time,Size
0,,
0,,
0,,
1,0.02,11
1,0.04,13
1,0.06,15
1,0.08,17
1,0.12,19
1,0.18,21
1,0.3,23
1,0.58,25
1,1.1,27
1,2.14,29
1,4.4,31
1,9.14,33
