Solve,Time,Size
1,0.04,21
1,0.02,6
1,0.06,29
1,0.18,61
1,0.14,49
1,0.08,29
1,0.06,20
1,0,6
1,0.12,50
1,0.32,104
1,0,7
1,0.16,70
1,0.2,80
1,0.1,42
1,0.46,155
1,0.04,14
1,0.36,129
1,0.24,97
1,0.38,130
1,0.44,151
