Solve,Time,Size
1,12.48,15
1,6.18,9
1,191.8,32
1,108.04,15
0,,
0,,
0,,
0,,
0,,
0,,
1,205.68,34
0,,
0,,
0,,
1,6.24,10
1,18.98,16
1,118.6,16
1,1133.58,22
0,,
0,,
0,,
0,,
0,,
0,,
