Solve,Time,Size
1,0,5
1,0.02,8
1,21.24,10
1,0.08,22
0,,
1,0.06,14
1,14.68,21
1,0.12,27
1,0.06,23
0,,
1,0,4
1,0,8
1,0,8
1,0.08,20
1,0.08,21
0,,
0,,
1,0.14,26
1,0.14,29
1,0.16,42
1,0,7
1,0.02,9
1,0.06,17
1,0.08,23
1,0.06,14
0,,
0,,
1,0.08,30
1,0.12,27
1,0.2,32
1,0,4
1,0.02,8
1,0.04,13
1,0.06,18
1,0.04,14
1,0.08,20
1,0.12,25
1,0.04,12
0,,
1,0.12,29
