index,domain_path,problem_path
1,benchmarks/acrobatics/domain.pddl,benchmarks/acrobatics/p01.pddl
2,,benchmarks/acrobatics/p02.pddl
3,,benchmarks/acrobatics/p03.pddl
4,,benchmarks/acrobatics/p04.pddl
5,,benchmarks/acrobatics/p05.pddl
6,,benchmarks/acrobatics/p06.pddl
7,,benchmarks/acrobatics/p07.pddl
8,,benchmarks/acrobatics/p08.pddl
