index,domain_path,problem_path
1,benchmarks/beam-walk/domain.pddl,benchmarks/beam-walk/p01.pddl
2,,benchmarks/beam-walk/p02.pddl
3,,benchmarks/beam-walk/p03.pddl
4,,benchmarks/beam-walk/p04.pddl
5,,benchmarks/beam-walk/p05.pddl
6,,benchmarks/beam-walk/p06.pddl
7,,benchmarks/beam-walk/p07.pddl
8,,benchmarks/beam-walk/p08.pddl
9,,benchmarks/beam-walk/p09.pddl
10,,benchmarks/beam-walk/p10.pddl
11,,benchmarks/beam-walk/p11.pddl
