Id,Solve,Time,Size
01,1,0.04,9
02,1,0.04,8
03,1,0.04,10
04,1,0.12,18
05,1,0.04,12
06,1,0.04,11
07,1,0.04,13
08,1,0.06,13
09,1,0.06,9
10,1,0.04,11
11,1,0.22,24
12,1,0.18,24
13,1,0.26,22
14,1,0.14,18
15,1,0.36,25
16,1,0.16,26
17,1,0.18,26
18,1,0.24,18
19,1,0.2,27
20,1,0.42,22
21,1,0.58,39
22,1,0.58,42
23,1,0.64,42
24,1,0.6,45
25,1,0.6,45
26,1,0.46,31
27,1,0.48,36
28,1,0.84,30
29,1,0.52,38
30,1,0.52,38
