Solve,Time,Size
1,0,4
1,0,4
1,0.02,4
1,0.02,4
1,0.02,4
1,0.02,4
1,0.02,4
1,0,4
1,0.02,4
1,0.02,4
1,0.02,4
1,0,4
1,0.02,6
1,0.02,6
1,0.12,6
1,2.38,6
1,56.56,6
1,1271.36,6
0,,
0,,
0,,
0,,
0,,
0,,
1,0.02,8
1,0.04,8
1,0.5,8
1,20.2,8
1,864.42,8
0,,
