Solve,Time,Size
1,0.04,13
1,0.04,16
1,0.04,15
1,0.06,15
1,0.06,15
1,0.06,15
1,0.04,15
1,0.06,15
1,0.06,18
1,0.06,17
1,0.04,17
1,0.06,17
1,0.06,17
1,0.08,17
1,0.06,17
1,0.08,17
1,0.06,20
1,0.06,19
1,0.06,19
1,0.08,19
