Id,Atoms,Actions,Solve,Time,Size
01,6,10,1,0.056131,8
02,10,22,1,18.622988,16
03,18,46,0
04,34,94,0
05,66,190,0
06,130,382,0
07,258,766,0
08,514,1534,0
09,1026,3070,0
10,2050,6142,0
11,4098,12286,0
