Id,Atoms,Actions,Solve,Time,Size
1,46,44,1,8.106574,14.0
2,46,43,1,0.731205,9.0
3,46,44,1,76.578164,16.0
4,46,45,1,10.373856,14.0
5,46,45,1,2.455883,12.0
6,82,77,0,,
7,82,70,1,2714.725548,23.0
8,82,73,0,,
9,82,73,0,,
10,82,74,0,,
11,123,123,0,,
12,123,111,0,,
13,123,115,0,,
14,123,110,0,,
15,123,123,0,,
