Id,Atoms,Actions,Solve,Time,Size
1,95,188,1,31.423528000000005,18.0
2,138,269,1,16.203028,15.0
3,209,410,1,28.869349,14.0
4,383,771,1,123.24613000000001,17.0
5,251,534,1,103.07821899999999,19.0
6,389,802,1,116.751005,18.0
7,439,918,1,159.98230800000002,20.0
8,474,981,1,135.39863799999998,18.0
9,515,1059,1,198.73881799999998,19.0
10,518,1050,1,155.481637,17.0
11,426,862,1,202.382923,19.0
12,364,743,1,77.845606,17.0
13,399,810,1,114.81688899999999,17.0
14,584,1219,1,229.13500499999998,19.0
15,554,1134,1,210.659671,20.0
16,923,1895,1,195.045925,16.0
17,837,1704,1,295.944261,18.0
18,566,1172,1,486.850621,19.0
19,879,1826,1,598.4240990000001,21.0
20,811,1660,1,250.154021,19.0
21,635,1331,1,620.629869,23.0
22,707,1454,1,1302.501741,26.0
23,763,1588,1,473.950533,22.0
24,1044,2133,1,888.947017,22.0
25,643,1340,1,279.01838,20.0
26,755,1562,1,291.075806,19.0
27,867,1787,1,795.4941299999999,22.0
28,773,1593,1,655.911742,22.0
29,827,1728,1,265.916226,19.0
30,858,1748,1,186.636499,17.0
31,711,1457,1,293.829177,19.0
32,1274,2632,1,1184.8035320000001,24.0
33,1129,2351,1,2244.987699,22.0
34,932,1908,1,617.344028,20.0
35,1220,2535,1,631.5554980000001,18.0
36,1005,2039,1,424.09177900000003,19.0
37,1001,2057,1,676.37595,21.0
38,1566,3212,1,1284.1156,22.0
39,1524,3136,1,1777.7317510000003,24.0
40,1167,2416,1,1479.717198,23.0
41,1163,2399,1,1123.445136,22.0
42,1212,2517,1,1143.882806,21.0
43,1407,2915,1,1865.9940980000001,22.0
44,1157,2383,1,845.653162,22.0
45,1987,4109,0,,
46,1561,3271,1,2573.4049449999998,26.0
47,1890,3928,1,2716.60507,25.0
48,1878,3886,0,,
49,1557,3259,0,,
50,1731,3604,1,2118.618138,24.0
51,2551,5318,0,,
