Id,Atoms,Actions,Solve,Time,Size
1,82,740,1,0.083339,2.0
2,90,960,1,79.86325500000001,17.0
3,98,1208,1,116.960209,17.0
4,106,1484,1,29.723869,13.0
5,114,1788,1,66.874074,15.0
6,240,3576,0,,
7,254,4152,0,,
8,268,4770,0,,
9,282,5430,0,,
10,296,6132,0,,
11,710,15672,0,,
12,738,17364,0,,
13,766,19140,0,,
14,794,21000,0,,
15,822,22944,0,,
