Id,Solve,Time,Size
01,0
02,0
03,0
04,1,0.04,11
05,1,0.06,13
06,1,0.08,15
07,1,0.14,17
08,1,0.12,19
09,1,0.3,21
10,1,0.38,23
11,1,0.66,25
12,1,1.24,27
13,1,2.72,29
14,1,5.44,31
15,1,10.14,33
