Domain (# inst),#at,#acts,%solve,time,size
acrobatics(8:1-8),67.5,623.5,0.375,27.570900666666663,9.333333333333334
beam-walk(11:1-11),746.3636363636364,2231.090909090909,0.18181818181818182,4.983033,12.0
doors(15:1-15),48.0,69.0,0.6,491.9668152222223,13.0
spiky-tireworld(11:1-11),243.45454545454547,462.54545454545456,0.2727272727272727,2445.3179963333337,23.0
tireworld(15:1-15),63.93333333333333,304.0,0.8,3.1940299166666666,5.583333333333333
zenotravel(15:1-15),377.3333333333333,8424.0,0.3333333333333333,229.60857719999998,12.8
blocksworld-ipc08(15:1-15),78.66666666666667,1350.0,0.6666666666666666,78.84301059999999,11.0
blocksworld-ipc08(15:16-30),238.66666666666666,8116.666666666667,0.0,,
earth_observation(20:1-20),46.3,87.7,0.25,9.8982048,9.8
earth_observation(20:21-40),110.1,224.3,0.0,,
elevators(10:1-10),64.0,58.8,0.6,498.43892516666665,14.666666666666666
elevators(5:11-15),123.0,116.4,0.0,,
faults-ipc08(20:1-20),43.65,35.5,1.0,21.16831545,9.8
faults-ipc08(20:21-40),84.55,92.5,0.4,1928.027641125,14.875
faults-ipc08(15:41-55),129.6,174.0,0.0,,
first-responders-ipc08(30:1-30),37.833333333333336,55.03333333333333,0.5666666666666667,307.8192113529411,9.235294117647058
first-responders-ipc08(40:31-70),99.4,436.35,0.45,700.6851290555555,10.277777777777779
first-responders-ipc08(30:71-100),172.33333333333334,1333.6666666666667,0.26666666666666666,652.1701735,9.875
islands(30:1-30),100.8,333.4,1.0,7.909628633333333,5.6
islands(30:31-60),388.96666666666664,1588.6,1.0,588.1278521666667,10.4
miner(30:1-30),587.5333333333333,1209.0333333333333,1.0,320.6930923666667,19.066666666666666
miner(21:31-51),1410.6190476190477,2920.5714285714284,0.9047619047619048,1598.1882225263162,22.42105263157895
tireworld-truck(24:1-24),64.08333333333333,111.75,1.0,50.894190583333334,11.708333333333334
tireworld-truck(25:25-49),80.8,150.4,0.96,884.1128414166666,15.833333333333334
tireworld-truck(25:50-74),101.68,198.72,0.76,1462.3083014210526,16.894736842105264
triangle-tireworld(20:1-20),669.5,1406.0,0.1,15.5894035,12.0
triangle-tireworld(20:21-40),4129.5,9006.0,0.0,,
