Id,Solve,Time,Size
01,1,0.1,8
02,1,0.9,16
03,1,1.76,32
04,1,10.58,64
05,1,9.8,128
06,1,10.12,256
07,1,10.62,512
08,1,13.28,1024
09,1,18.28,2048
10,1,45.7,4096
11,1,163.14,8192
