Id,Solve,Time,Size
1,1,0.02,14
2,1,0.0,9
3,1,0.06,16
4,1,0.04,14
5,1,0.02,13
6,1,0.08,32
7,1,0.06,26
8,1,0.14,43
9,1,0.2,66
10,1,0.24,58
11,1,1.16,65
12,1,0.3,46
13,1,0.62,146
14,1,0.22,55
15,1,0.58,95
