Id,Solve,Time,Size
01,1,0.08,21
02,1,0.02,6
03,1,0.12,29
04,1,0.18,61
05,1,0.14,49
06,1,0.08,29
07,1,0.04,20
08,1,0.0,6
09,1,0.12,50
10,1,0.36,104
11,1,0.02,7
12,1,0.16,70
13,1,0.22,80
14,1,0.1,42
15,1,0.56,155
16,1,0.02,14
17,1,0.36,129
18,1,0.3,97
19,1,0.48,130
20,1,0.44,151
21,1,0.12,55
22,1,0.48,120
23,1,0.66,179
24,1,0.78,191
25,1,0.68,186
26,1,0.32,84
27,1,0.2,73
28,1,0.74,235
29,1,0.16,44
30,1,1.08,315
31,1,0.12,41
32,1,1.76,495
33,1,0.82,276
34,1,1.12,250
35,1,2.14,395
36,1,0.2,83
37,1,1.54,436
38,1,0.82,285
39,1,0.44,153
40,1,3.98,792
