Id,Solve,Time,Size
01,1,0.0,4
02,1,0.0,5
03,1,0.0,6
04,1,0.0,7
05,1,0.0,8
06,1,0.02,9
07,1,0.02,10
08,1,0.02,11
09,1,0.02,12
10,1,0.02,13
100,0
101,1,0.02,4
102,1,0.02,7
103,1,0.06,14
104,1,0.12,21
105,1,0.22,26
106,0
107,1,0.2,32
108,1,0.26,30
109,0
11,0
110,1,0.36,43
12,1,0.0,5
13,1,0.02,13
14,1,0.02,9
15,0
16,0
17,1,0.1,18
18,1,0.04,13
19,0
20,0
31,1,0.0,5
32,1,0.0,12
33,0
34,0
35,0
36,0
37,1,0.12,24
38,1,0.04,20
39,0
40,0
41,1,0.0,5
42,1,0.02,8
43,1,23.34,10
44,1,0.08,22
45,0
46,1,0.1,14
47,1,16.54,21
48,1,0.1,27
49,1,0.08,23
50,0
51,1,0.0,4
52,1,0.02,8
53,1,0.04,8
54,1,0.08,20
55,1,0.08,21
56,0
57,0
58,1,0.14,26
59,1,0.14,29
60,1,0.18,42
61,1,0.0,7
62,1,0.04,9
63,1,0.06,17
64,1,0.08,23
65,1,0.06,14
66,0
67,0
68,1,0.1,30
69,1,0.12,27
70,1,0.18,32
71,1,0.0,4
72,1,0.0,8
73,1,0.06,13
74,1,0.06,18
75,1,0.08,14
76,1,0.08,20
77,1,0.12,25
78,1,0.04,12
79,0
80,1,0.14,29
81,1,0.0,5
82,1,0.02,8
83,0
84,1,0.16,17
85,1,0.1,22
86,1,0.1,24
87,1,0.18,25
88,1,0.2,38
89,1,0.16,23
90,1,0.16,26
91,1,0.02,12
92,1,0.06,15
93,1,0.06,18
94,0
95,0
96,1,0.16,22
97,1,0.2,36
98,1,0.36,94
99,0
