Atoms,Actions,Solve,Time,Size
88,168,0,,
104,204,0,,
104,204,1,849.211642,18
104,204,1,103.987888,16
120,240,1,181.614689,16
120,240,1,643.332983,18
120,240,1,643.751400,18
37,47,1,4.396918,14
37,47,1,17.315759,16
64,110,1,26.219905,16
64,110,1,4.911865,14
100,194,1,38.105139,16
118,236,1,42.786302,16
118,236,1,109.157244,18
136,278,1,317.055606,18
136,278,1,25.477931,16
64,112,1,702.113816,19
64,112,1,4011.074797,21
100,196,1,221.778872,17
100,196,1,864.074463,19
118,238,0,,
118,238,0,,
136,280,0,,
136,280,1,2178.728211,19
136,280,1,182.994964,17
