Atoms,Actions,Solve,Time,Size
13,13,1,0.090395,5
18,21,1,0.205663,7
23,29,1,0.524228,9
28,37,1,1.608353,11
33,45,1,5.771877,13
38,53,1,19.585747,15
43,61,1,69.489788,17
48,69,1,193.795592,19
53,77,1,773.314340,21
58,85,1,4523.417163,23
63,93,0,,23
68,101,0,,22
73,109,0,,23
78,117,0,,23
83,125,0,,22
