Atoms,Actions,Solve,Time,Size
711,1457,1,45.133998,19
1274,2632,1,120.139590,24
1129,2351,1,341.332715,22
932,1908,1,52.441149,20
1220,2535,1,66.863100,18
1005,2039,1,54.411633,19
1001,2057,1,148.796669,21
1566,3212,1,92.724245,22
1524,3136,1,303.240226,24
1167,2416,1,310.698187,23
1163,2399,1,217.004695,22
1212,2517,1,90.087528,21
1407,2915,1,157.005951,22
1157,2383,1,154.250361,22
1987,4109,1,1004.412850,28
1561,3271,1,621.145723,26
1890,3928,1,1406.154886,25
1878,3886,1,599.519284,24
1557,3259,1,802.961825,28
1731,3604,1,210.656095,24
2551,5318,1,747.444040,25
