Atoms,Actions,Solve,Time,Size
4,6,1,0.045168,4
8,26,1,0.202214,8
12,66,1,14.369469,16
20,146,0,,
36,306,0,,
68,626,0,,
132,1266,0,,
260,2546,0,,
