Atoms,Actions,Solve,Time,Size
11,4,1,0.004806,4
17,7,1,0.009520,6
26,13,1,0.008046,5
22,10,1,0.028777,8
30,19,1,0.020995,7
41,28,1,0.026167,7
27,13,1,0.158253,10
36,25,1,0.161271,9
45,37,1,0.191847,9
58,49,1,0.215560,9
32,16,1,1.317010,12
42,31,1,1.282125,11
52,46,1,1.920053,11
62,61,1,1.781438,11
77,76,1,4.078885,11
37,19,1,13.528910,14
48,37,1,16.338697,13
59,55,1,26.365835,13
70,73,1,35.560012,13
81,91,1,28.651687,13
