Atoms,Actions,Solve,Time,Size
35,96,0,,
43,171,1,0.002475,2
39,152,1,0.014057,5
53,262,1,0.080771,8
55,174,1,0.014611,5
57,202,1,0.016292,5
65,229,1,0.120258,9
67,277,1,0.144666,8
67,288,0,,
73,370,1,0.003525,2
73,305,1,0.020990,5
79,483,1,0.003803,2
89,707,1,0.047565,5
77,568,1,4.663480,11
87,276,0,,
