Atoms,Actions,Solve,Time,Size
235,900,1,23.826987,8
268,1030,1,32.274609,8
301,1160,1,42.111108,8
334,1290,1,51.761418,8
367,1420,1,64.652243,8
400,1550,1,77.648550,8
53,190,1,1.124053,10
106,402,1,6.821597,10
157,614,1,13.571417,10
208,826,1,22.840853,10
259,1038,1,43.958589,10
310,1250,1,66.979714,10
361,1462,1,96.699211,10
412,1674,1,128.401504,10
463,1886,1,170.636926,10
514,2098,1,220.447023,10
565,2310,1,276.624189,10
616,2522,1,339.568849,10
75,276,1,2.918109,12
150,590,1,13.947224,12
223,904,1,71.226276,12
296,1218,1,91.871061,12
369,1532,1,174.739227,12
442,1846,1,250.136423,12
515,2160,1,325.540410,12
588,2474,1,439.654085,12
661,2788,1,608.634773,12
734,3102,1,725.240430,12
807,3416,1,973.171150,12
880,3730,1,1259.572394,12
